epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7181,5.71578,3.72407,4.2651,0,0,0,0,6.03328,3.70902,4.16053,0.00016,0.00016,0.00016
2,49.7559,5.64736,3.66909,4.2278,0,0,0,0,6.03328,3.70902,4.16053,0.000336634,0.000336634,0.000336634
3,73.9685,5.71733,3.61042,4.15472,0,0,0,0,6.04125,3.71162,4.16792,0.000509704,0.000509704,0.000509704
4,98.5824,5.40402,3.62237,4.14761,0,0,0,0,6.04125,3.71162,4.16792,0.00067921,0.00067921,0.00067921
5,125.563,6.06215,3.66744,4.08275,0,0,0,0,6.04125,3.71162,4.16792,0.000845152,0.000845152,0.000845152
6,150.721,5.65178,3.59139,4.12853,0,0,0,0,6.04125,3.71162,4.16792,0.00100753,0.00100753,0.00100753
7,174.767,5.40928,3.47905,4.06984,0,0,0,0,6.10686,3.73778,4.24922,0.00116634,0.00116634,0.00116634
8,200.411,5.35615,3.31628,3.89175,0,0,0,0,6.10686,3.73778,4.24922,0.00132159,0.00132159,0.00132159
9,224.159,4.82819,3.26569,3.92985,0,0,0,0,6.10686,3.73778,4.24922,0.00147328,0.00147328,0.00147328
10,248.104,4.79494,3.27437,3.95332,0,0,0,0,6.10686,3.73778,4.24922,0.0016214,0.0016214,0.0016214
11,272.671,4.9262,3.28527,3.97101,0,0,0,0,6.10686,3.73778,4.24922,0.00176596,0.00176596,0.00176596
12,298.981,5.60342,3.31302,3.88067,0,0,0,0,6.10686,3.73778,4.24922,0.0017822,0.0017822,0.0017822
13,324.297,5.21923,3.35044,3.9423,0,0,0,0,6.10686,3.73778,4.24922,0.0017624,0.0017624,0.0017624
14,351.761,4.64044,3.1884,3.88452,0,0,0,0,6.09645,3.83904,4.29268,0.0017426,0.0017426,0.0017426
15,380.923,4.72425,2.95008,3.68718,0,0,0,0,6.09645,3.83904,4.29268,0.0017228,0.0017228,0.0017228
16,406.536,4.24432,2.90335,3.7597,0,0,0,0,6.09645,3.83904,4.29268,0.001703,0.001703,0.001703
17,434.802,4.44296,2.90704,3.73413,0,0,0,0,6.09645,3.83904,4.29268,0.0016832,0.0016832,0.0016832
18,460.33,4.68966,2.90565,3.65717,0,0,0,0,6.09645,3.83904,4.29268,0.0016634,0.0016634,0.0016634
19,484.506,4.32459,2.92736,3.77766,0,0,0,0,6.09645,3.83904,4.29268,0.0016436,0.0016436,0.0016436
20,508.326,4.37704,2.92672,3.82166,0,0,0,0,6.09645,3.83904,4.29268,0.0016238,0.0016238,0.0016238
21,536.091,4.47512,2.86496,3.67142,0.10167,0.17354,0.06728,0.01961,3.71672,2.68604,4.10407,0.001604,0.001604,0.001604
22,563.888,4.09101,2.55819,3.5969,0.10167,0.17354,0.06728,0.01961,3.71672,2.68604,4.10407,0.0015842,0.0015842,0.0015842
23,590.745,3.7223,2.52321,3.63487,0.10167,0.17354,0.06728,0.01961,3.71672,2.68604,4.10407,0.0015644,0.0015644,0.0015644
24,618.099,3.96711,2.49317,3.61387,0.10167,0.17354,0.06728,0.01961,3.71672,2.68604,4.10407,0.0015446,0.0015446,0.0015446
25,646.513,4.32003,2.58358,3.63299,0.10167,0.17354,0.06728,0.01961,3.71672,2.68604,4.10407,0.0015248,0.0015248,0.0015248
26,673.885,3.74603,2.49756,3.5747,0.10167,0.17354,0.06728,0.01961,3.71672,2.68604,4.10407,0.001505,0.001505,0.001505
27,702.975,4.20387,2.5936,3.69052,0.10167,0.17354,0.06728,0.01961,3.71672,2.68604,4.10407,0.0014852,0.0014852,0.0014852
28,733.237,4.70458,2.60284,3.6252,0.02689,0.04125,0.01325,0.00231,4.10964,9.50435,6.32932,0.0014654,0.0014654,0.0014654
29,760.307,3.30488,2.26839,3.75799,0.02689,0.04125,0.01325,0.00231,4.10964,9.50435,6.32932,0.0014456,0.0014456,0.0014456
30,788.979,3.63745,2.23603,3.60672,0.02689,0.04125,0.01325,0.00231,4.10964,9.50435,6.32932,0.0014258,0.0014258,0.0014258
31,817.068,3.50161,2.22693,3.66465,0.02689,0.04125,0.01325,0.00231,4.10964,9.50435,6.32932,0.001406,0.001406,0.001406
32,846.113,3.88295,2.18176,3.56993,0.02689,0.04125,0.01325,0.00231,4.10964,9.50435,6.32932,0.0013862,0.0013862,0.0013862
33,873.181,3.31717,2.24838,3.69397,0.02689,0.04125,0.01325,0.00231,4.10964,9.50435,6.32932,0.0013664,0.0013664,0.0013664
34,901.094,3.09362,2.11847,3.56965,0.02689,0.04125,0.01325,0.00231,4.10964,9.50435,6.32932,0.0013466,0.0013466,0.0013466
35,930.149,3.82608,2.14887,3.56546,0.02689,0.04125,0.01325,0.00231,4.10964,9.50435,6.32932,0.0013268,0.0013268,0.0013268
36,959.224,3.33019,2.04034,3.49204,0.08917,0.1522,0.05185,0.00838,3.45984,3.81193,4.17978,0.001307,0.001307,0.001307
37,987.319,3.22857,1.98492,3.52765,0.08917,0.1522,0.05185,0.00838,3.45984,3.81193,4.17978,0.0012872,0.0012872,0.0012872
38,1015.12,3.08693,2.02919,3.59407,0.08917,0.1522,0.05185,0.00838,3.45984,3.81193,4.17978,0.0012674,0.0012674,0.0012674
39,1043.69,3.47375,1.96979,3.49128,0.08917,0.1522,0.05185,0.00838,3.45984,3.81193,4.17978,0.0012476,0.0012476,0.0012476
40,1072.49,3.49038,1.90208,3.35708,0.08917,0.1522,0.05185,0.00838,3.45984,3.81193,4.17978,0.0012278,0.0012278,0.0012278
41,1101.5,3.9226,2.09339,3.49314,0.08917,0.1522,0.05185,0.00838,3.45984,3.81193,4.17978,0.001208,0.001208,0.001208
42,1130.37,3.17293,1.91534,3.40601,0.08917,0.1522,0.05185,0.00838,3.45984,3.81193,4.17978,0.0011882,0.0011882,0.0011882
43,1159.8,3.56041,2.08171,3.44165,0.21097,0.32006,0.16884,0.04311,3.04678,2.64612,3.56145,0.0011684,0.0011684,0.0011684
44,1187.79,3.26912,1.80103,3.31563,0.21097,0.32006,0.16884,0.04311,3.04678,2.64612,3.56145,0.0011486,0.0011486,0.0011486
45,1216.92,3.58744,1.88396,3.27452,0.21097,0.32006,0.16884,0.04311,3.04678,2.64612,3.56145,0.0011288,0.0011288,0.0011288
46,1243.66,2.90932,1.98952,3.46916,0.21097,0.32006,0.16884,0.04311,3.04678,2.64612,3.56145,0.001109,0.001109,0.001109
47,1273.79,3.82811,1.89383,3.24373,0.21097,0.32006,0.16884,0.04311,3.04678,2.64612,3.56145,0.0010892,0.0010892,0.0010892
48,1300.57,2.87081,1.84974,3.3606,0.21097,0.32006,0.16884,0.04311,3.04678,2.64612,3.56145,0.0010694,0.0010694,0.0010694
49,1328.7,2.85764,1.82764,3.34478,0.21097,0.32006,0.16884,0.04311,3.04678,2.64612,3.56145,0.0010496,0.0010496,0.0010496
50,1356.72,2.83747,1.76401,3.2468,0.29865,0.31863,0.23125,0.07995,2.85925,2.22876,3.23656,0.0010298,0.0010298,0.0010298
51,1385.28,3.27738,1.69183,3.17501,0.29865,0.31863,0.23125,0.07995,2.85925,2.22876,3.23656,0.00101,0.00101,0.00101
52,1414.38,3.42733,1.84675,3.19947,0.29865,0.31863,0.23125,0.07995,2.85925,2.22876,3.23656,0.0009902,0.0009902,0.0009902
53,1444.58,3.85301,1.77741,3.06035,0.29865,0.31863,0.23125,0.07995,2.85925,2.22876,3.23656,0.0009704,0.0009704,0.0009704
54,1470.94,2.67852,1.74478,3.2385,0.29865,0.31863,0.23125,0.07995,2.85925,2.22876,3.23656,0.0009506,0.0009506,0.0009506
55,1498.37,2.91645,1.83791,3.2528,0.29865,0.31863,0.23125,0.07995,2.85925,2.22876,3.23656,0.0009308,0.0009308,0.0009308
56,1528.71,3.67166,1.77007,3.16318,0.29865,0.31863,0.23125,0.07995,2.85925,2.22876,3.23656,0.000911,0.000911,0.000911
57,1557.26,3.0458,1.78384,3.26097,0.42857,0.38691,0.38846,0.14901,2.44513,1.84179,2.96441,0.0008912,0.0008912,0.0008912
58,1586.65,3.16604,1.814,3.19735,0.42857,0.38691,0.38846,0.14901,2.44513,1.84179,2.96441,0.0008714,0.0008714,0.0008714
59,1616.3,3.15516,1.68674,3.0717,0.42857,0.38691,0.38846,0.14901,2.44513,1.84179,2.96441,0.0008516,0.0008516,0.0008516
60,1645.16,3.25662,1.91146,3.24509,0.42857,0.38691,0.38846,0.14901,2.44513,1.84179,2.96441,0.0008318,0.0008318,0.0008318
61,1684.74,2.98047,1.93639,3.26166,0.42857,0.38691,0.38846,0.14901,2.44513,1.84179,2.96441,0.000812,0.000812,0.000812
62,1715.61,2.84303,1.79544,3.19196,0.42857,0.38691,0.38846,0.14901,2.44513,1.84179,2.96441,0.0007922,0.0007922,0.0007922
63,1747.65,2.90032,1.60411,3.06689,0.42857,0.38691,0.38846,0.14901,2.44513,1.84179,2.96441,0.0007724,0.0007724,0.0007724
64,1778.94,3.20805,1.68909,3.10848,0.56202,0.52205,0.55267,0.24224,2.27673,1.6214,2.8354,0.0007526,0.0007526,0.0007526
65,1809.92,3.03628,1.6554,3.03598,0.56202,0.52205,0.55267,0.24224,2.27673,1.6214,2.8354,0.0007328,0.0007328,0.0007328
66,1837.14,3.07674,1.83277,3.18325,0.56202,0.52205,0.55267,0.24224,2.27673,1.6214,2.8354,0.000713,0.000713,0.000713
67,1864.18,2.85829,1.74695,3.11034,0.56202,0.52205,0.55267,0.24224,2.27673,1.6214,2.8354,0.0006932,0.0006932,0.0006932
68,1889.55,2.42014,1.79563,3.21524,0.56202,0.52205,0.55267,0.24224,2.27673,1.6214,2.8354,0.0006734,0.0006734,0.0006734
69,1918.62,3.03986,1.78911,3.11743,0.56202,0.52205,0.55267,0.24224,2.27673,1.6214,2.8354,0.0006536,0.0006536,0.0006536
70,1949.9,3.48397,1.76057,3.02241,0.56202,0.52205,0.55267,0.24224,2.27673,1.6214,2.8354,0.0006338,0.0006338,0.0006338
71,1979.11,3.07212,1.66841,3.0135,0.59765,0.6202,0.59948,0.27613,2.19522,1.53807,2.79506,0.000614,0.000614,0.000614
72,2008.04,3.1701,1.59029,2.95842,0.59765,0.6202,0.59948,0.27613,2.19522,1.53807,2.79506,0.0005942,0.0005942,0.0005942
73,2042.24,3.57801,1.66242,2.99128,0.59765,0.6202,0.59948,0.27613,2.19522,1.53807,2.79506,0.0005744,0.0005744,0.0005744
74,2073.71,2.66826,1.55538,3.0171,0.59765,0.6202,0.59948,0.27613,2.19522,1.53807,2.79506,0.0005546,0.0005546,0.0005546
75,2109.71,3.35714,1.55197,2.92036,0.59765,0.6202,0.59948,0.27613,2.19522,1.53807,2.79506,0.0005348,0.0005348,0.0005348
76,2143.5,3.14564,1.6656,3.02589,0.59765,0.6202,0.59948,0.27613,2.19522,1.53807,2.79506,0.000515,0.000515,0.000515
77,2174.03,2.6804,1.62438,3.06338,0.59765,0.6202,0.59948,0.27613,2.19522,1.53807,2.79506,0.0004952,0.0004952,0.0004952
78,2206.11,2.81856,1.56122,2.96577,0.59182,0.7027,0.63992,0.30024,2.11407,1.47552,2.75085,0.0004754,0.0004754,0.0004754
79,2237.1,2.70786,1.55528,2.95267,0.59182,0.7027,0.63992,0.30024,2.11407,1.47552,2.75085,0.0004556,0.0004556,0.0004556
80,2275.13,2.95698,1.64097,2.97565,0.59182,0.7027,0.63992,0.30024,2.11407,1.47552,2.75085,0.0004358,0.0004358,0.0004358
81,2315.94,3.00367,1.60927,2.97015,0.59182,0.7027,0.63992,0.30024,2.11407,1.47552,2.75085,0.000416,0.000416,0.000416
82,2350.03,2.53209,1.7461,3.20793,0.59182,0.7027,0.63992,0.30024,2.11407,1.47552,2.75085,0.0003962,0.0003962,0.0003962
83,2390.73,2.87723,1.69047,3.08738,0.59182,0.7027,0.63992,0.30024,2.11407,1.47552,2.75085,0.0003764,0.0003764,0.0003764
84,2433.61,2.51879,1.43562,2.84917,0.59182,0.7027,0.63992,0.30024,2.11407,1.47552,2.75085,0.0003566,0.0003566,0.0003566
85,2471.65,2.78344,1.58971,3.00556,0.65341,0.69701,0.69473,0.32829,2.1127,1.40221,2.70914,0.0003368,0.0003368,0.0003368
86,2503.68,2.65699,1.64146,3.02231,0.65341,0.69701,0.69473,0.32829,2.1127,1.40221,2.70914,0.000317,0.000317,0.000317
87,2531.03,2.52273,1.81588,3.18734,0.65341,0.69701,0.69473,0.32829,2.1127,1.40221,2.70914,0.0002972,0.0002972,0.0002972
88,2561.74,2.71854,1.66725,2.98189,0.65341,0.69701,0.69473,0.32829,2.1127,1.40221,2.70914,0.0002774,0.0002774,0.0002774
89,2593.46,2.67158,1.69202,3.0489,0.65341,0.69701,0.69473,0.32829,2.1127,1.40221,2.70914,0.0002576,0.0002576,0.0002576
90,2623.77,2.46591,1.68658,3.01772,0.65341,0.69701,0.69473,0.32829,2.1127,1.40221,2.70914,0.0002378,0.0002378,0.0002378
91,2650.88,2.73334,2.05354,2.93329,0.65341,0.69701,0.69473,0.32829,2.1127,1.40221,2.70914,0.000218,0.000218,0.000218
92,2679.53,2.66917,1.90517,2.93691,0.64581,0.72622,0.70132,0.33512,2.17048,1.45823,2.62802,0.0001982,0.0001982,0.0001982
93,2709.42,2.84661,2.04269,2.97602,0.64581,0.72622,0.70132,0.33512,2.17048,1.45823,2.62802,0.0001784,0.0001784,0.0001784
94,2740.07,2.48703,1.75303,2.92768,0.64581,0.72622,0.70132,0.33512,2.17048,1.45823,2.62802,0.0001586,0.0001586,0.0001586
95,2767.32,2.64924,1.88604,3.0903,0.64581,0.72622,0.70132,0.33512,2.17048,1.45823,2.62802,0.0001388,0.0001388,0.0001388
96,2794.99,2.60929,1.79418,2.78397,0.64581,0.72622,0.70132,0.33512,2.17048,1.45823,2.62802,0.000119,0.000119,0.000119
97,2822.54,2.43732,1.65583,2.92227,0.64581,0.72622,0.70132,0.33512,2.17048,1.45823,2.62802,9.92e-05,9.92e-05,9.92e-05
98,2851.69,2.56642,1.85927,2.9447,0.64581,0.72622,0.70132,0.33512,2.17048,1.45823,2.62802,7.94e-05,7.94e-05,7.94e-05
99,2882.26,2.4056,1.61294,2.90006,0.64581,0.72622,0.70132,0.33512,2.17048,1.45823,2.62802,5.96e-05,5.96e-05,5.96e-05
100,2914.53,2.80383,2.04999,2.9115,0.63147,0.73542,0.70416,0.33025,2.1868,1.49156,2.61514,3.98e-05,3.98e-05,3.98e-05
